TILT,TIME
0.005196,1874
0.010392,1884
-0.012391,1894
-0.025447,1904
-0.016387,1914
0.001199,1924
0.004397,1934
-0.008793,1944
-0.028112,1954
-0.024914,1964
0.00413,1974
0.032109,1984
0.034773,1994
0.014922,2004
0.007594,2014
0.021051,2024
0.023315,2034
0.010658,2044
-0.006795,2054
-0.014256,2064
-0.003198,2074
0.016787,2084
0.015588,2094
-0.000266,2104
-0.011858,2114
-0.006795,2124
-0.001865,2134
-0.001998,2144
-0.008793,2154
-0.004796,2164
0.025314,2174
0.056757,2184
0.047564,2194
0.017853,2204
-0.004796,2214
0.005196,2224
0.014655,2234
0.006129,2244
-0.013323,2254
-0.01692,2264
0.013456,2274
0.03917,2284
0.036505,2294
0.020518,2304
0.003997,2314
0.019585,2324
0.036372,2334
0.027312,2344
-0.004663,2354
-0.024115,2364
-0.009593,2374
0.020118,2384
0.03051,2394
0.006528,2404
-0.011058,2414
0.0004,2424
0.031975,2434
0.035306,2444
0.010126,2454
-0.020384,2464
-0.016521,2474
0.002931,2484
0.013723,2494
0.005196,2504
-0.007594,2514
-0.011858,2524
-0.007328,2534
0.005729,2544
-0.002931,2554
-0.02145,2564
-0.038104,2574
-0.037571,2584
-0.023848,2594
-0.009193,2604
-0.015855,2614
-0.020118,2624
0.005462,2634
0.03091,2644
0.038904,2654
0.025314,2664
-0.001732,2674
-0.016521,2684
-0.008394,2694
-0.005329,2704
-0.02638,2714
-0.050495,2724
-0.043433,2734
-0.013456,2744
0.00906,2754
0.011058,2764
-0.001066,2774
-0.00373,2784
0.016521,2794
0.028645,2804
0.021317,2814
0.001199,2824
-0.01279,2834
0.00373,2844
0.001466,2854
-0.00493,2864
-0.003464,2874
0.005196,2884
0.018253,2894
0.022649,2904
0.021983,2914
0.01732,2924
0.015855,2934
0.024914,2944
0.03544,2954
0.033308,2964
0.015055,2974
0.004263,2984
0.012657,2994
0.026247,3004
0.02225,3014
0.00373,3024
-0.018253,3034
-0.007194,3044
0.013323,3054
0.024248,3064
0.005995,3074
-0.005462,3084
0.001865,3094
0.02598,3104
0.043567,3114
0.031975,3124
0.014389,3134
0.006528,3144
0.019452,3154
0.036372,3164
0.028645,3174
0.009193,3184
-0.005063,3194
0.013723,3204
0.028378,3214
0.017986,3224
-0.000133,3234
-0.007461,3244
0.013856,3254
0.028245,3264
0.025714,3274
0.002531,3284
-0.010259,3294
0.003464,3304
0.025181,3314
0.019052,3324
0.001732,3334
-0.010259,3344
-0.002665,3354
0.015322,3364
0.013057,3374
-0.003198,3384
-0.006928,3394
0.005862,3404
0.020518,3414
0.021983,3424
0.009459,3434
0.003864,3444
0.001865,3454
0.01772,3464
0.017853,3474
0.013989,3484
-0.001332,3494
-0.008926,3504
0.000933,3514
0.015988,3524
0.00826,3534
-0.009459,3544
-0.004663,3554
0.009992,3564
0.009459,3574
-0.003331,3584
-0.00453,3594
-0.002531,3604
-0.002132,3614
-0.001332,3624
-0.005063,3634
-0.006528,3644
-0.005729,3654
0,3664
0.003198,3674
0.000666,3684
0.000133,3694
-0.003597,3704
-0.006528,3714
0.002931,3724
0.008793,3734
0.003064,3744
-0.00906,3754
-0.01319,3764
0.002531,3774
0.013057,3784
0.003997,3794
-0.006395,3804
0.001998,3814
0.013856,3824
0.005462,3834
-0.012257,3844
-0.010126,3854
-0.000533,3864
0.002665,3874
-0.003864,3884
-0.014655,3894
-0.010392,3904
-0.000799,3914
-0.000266,3924
-0.001599,3934
-0.00413,3944
-0.001199,3954
0.001466,3964
0.002132,3974
-0.011858,3984
-0.013456,3994
-0.007328,4004
0.002665,4014
0.00453,4024
-0.002798,4034
-0.009726,4044
-0.008127,4054
0.00866,4064
0.005596,4074
-0.002132,4084
-0.006129,4094
-0.010925,4104
0.005329,4114
0.007994,4124
0.001466,4134
-0.007461,4144
0.001998,4154
0.009992,4164
0.012391,4174
0.001199,4184
-0.009593,4194
-0.005196,4204
0.012923,4214
0.014389,4224
0.00453,4234
-0.008926,4244
-0.008394,4254
0.000666,4264
0.00493,4274
-0.005329,4284
-0.006262,4294
-0.003597,4304
0.003064,4314
0.007994,4324
0.003597,4334
-0.007328,4344
-0.005729,4354
0.001332,4364
