TILT,TIME
0.004884,5804
0.00496,5814
0.005061,5824
0.005289,5834
0.005687,5844
0.006118,5854
0.0066,5864
0.007004,5874
0.007187,5884
0.007071,5894
0.006766,5904
0.00655,5914
0.006445,5924
0.006537,5934
0.00673,5944
0.007081,5954
0.007387,5964
0.007712,5974
0.007909,5984
0.008134,5994
0.00831,6004
0.008589,6014
0.008839,6024
0.009115,6034
0.009316,6044
0.009414,6054
0.009394,6064
0.009326,6074
0.009242,6084
0.009129,6094
0.009038,6104
0.008979,6114
0.008965,6124
0.009095,6134
0.009048,6144
0.008859,6154
0.008594,6164
0.008322,6174
0.008143,6184
0.00798,6194
0.00761,6204
0.00736,6214
0.007198,6224
0.007146,6234
0.007076,6244
0.006819,6254
0.006451,6264
0.006121,6274
0.005929,6284
0.005637,6294
0.005526,6304
0.005642,6314
0.005602,6324
0.005679,6334
0.005827,6344
0.006031,6354
0.00645,6364
0.006689,6374
0.006688,6384
0.006535,6394
0.006242,6404
0.006023,6414
0.005997,6424
0.006104,6434
0.006283,6444
0.00652,6454
0.006783,6464
0.006974,6474
0.007199,6484
0.0075,6494
0.008105,6504
0.008709,6514
0.009441,6524
0.010165,6534
0.010938,6544
0.011646,6554
0.012352,6564
0.013071,6574
0.013717,6584
0.014398,6594
0.015088,6604
0.01574,6614
0.016292,6624
0.016794,6634
0.017384,6644
0.017999,6654
0.018698,6664
0.019434,6674
0.020054,6684
0.020772,6694
0.02151,6704
0.022318,6714
0.023135,6724
0.023939,6734
0.02482,6744
0.025533,6754
0.026116,6764
0.026414,6774
0.026435,6784
0.026291,6794
0.026135,6804
0.026152,6814
0.026445,6824
0.027005,6834
0.027529,6844
0.027847,6854
0.027848,6864
0.027652,6874
0.027573,6884
0.027538,6894
0.027602,6904
0.027643,6914
0.027685,6924
0.027724,6934
0.027744,6944
0.027672,6954
0.027527,6964
0.027334,6974
0.027025,6984
0.026707,6994
0.02643,7004
0.026131,7014
0.025813,7024
0.025563,7034
0.025366,7044
0.025519,7054
0.025636,7064
0.025498,7074
0.025298,7084
0.024827,7094
0.024291,7104
0.023537,7114
0.022639,7124
0.021761,7134
0.020944,7144
0.020354,7154
0.02007,7164
0.019819,7174
0.019511,7184
0.01922,7194
0.019004,7204
0.019061,7214
0.019387,7224
0.01983,7234
0.020404,7244
0.02089,7254
0.021496,7264
0.022217,7274
0.02314,7284
0.024158,7294
0.025129,7304
0.025993,7314
0.026861,7324
0.027731,7334
0.028859,7344
0.030144,7354
0.031527,7364
0.03309,7374
0.03486,7384
0.036725,7394
0.038381,7404
0.03968,7414
0.040701,7424
0.041268,7434
0.041419,7444
0.039502,7454
0.040431,7464
0.040982,7474
0.041794,7484
0.042386,7494
0.042321,7504
0.04179,7514
0.041045,7524
0.040355,7534
0.039898,7544
0.039581,7554
0.039414,7564
0.0393,7574
0.039197,7584
0.039184,7594
0.039219,7604
0.03937,7614
0.03976,7624
0.040323,7634
0.041132,7644
0.04182,7654
0.042395,7664
0.042747,7674
0.042663,7684
0.042349,7694
0.041912,7704
0.041517,7714
0.041162,7724
0.040852,7734
0.040592,7744
0.040274,7754
0.039895,7764
0.03948,7774
0.03904,7784
0.038503,7794
0.037947,7804
0.037426,7814
0.036902,7824
0.036286,7834
0.035701,7844
0.035223,7854
0.034889,7864
0.034754,7874
0.034742,7884
0.034798,7894
0.034884,7904
0.035123,7914
0.035307,7924
0.035407,7934
0.035397,7944
0.035589,7954
0.035944,7964
0.036371,7974
0.036939,7984
0.037591,7994
0.038327,8004
0.039143,8014
0.040009,8024
0.040925,8034
0.041898,8044
0.043028,8054
0.044095,8064
0.045174,8074
0.04601,8084
0.04669,8094
0.04716,8104
0.047385,8114
0.047582,8124
0.047824,8134
0.048188,8144
0.048625,8154
0.049002,8164
0.049306,8174
0.049572,8184
0.049767,8194
0.049912,8204
0.049918,8214
0.04982,8224
0.049675,8234
0.049608,8244
0.049538,8254
0.0493,8264
0.049293,8274
0.049445,8284
0.049369,8294
0.048912,8304
0.048829,8314
0.048924,8324
0.049328,8334
0.049777,8344
0.049959,8354
0.049964,8364
0.049931,8374
0.049988,8384
